Star Rating,Monster Name,Quest,Runner,Time,Time (s),Weapon,Platform,Ruleset,Monster/General,Quest/General,Monster/Weapon,Quest/Weapon
6,Alatreon,The Evening Star,DEVA,"01'55""11",115.11,HBG,PC,Freestyle,1,1,1,1
6,Alatreon,The Evening Star,Jackdaw갈까마귀,"02'24""56",144.56,HBG,PC,Freestyle,2,2,2,2
6,Alatreon,Dawn of the Death Star,Jackdaw갈까마귀,"02'44""40",164.4,HBG,PC,Freestyle,3,1,3,1
6,Alatreon,The Evening Star,Relial,"02'47""35",167.35,HBG,PC,Freestyle,4,3,4,3
6,Alatreon,Dawn of the Death Star,Relial,"02'58""53",178.53,HBG,PC,Freestyle,5,2,5,2
6,Alatreon,The Evening Star,Dusty,"02'58""98",178.98,SnS,PC,Freestyle,6,4,1,1
6,Alatreon,Dawn of the Death Star,Randel Daora,"03'26""71",206.71,HBG,PC,Freestyle,7,3,6,3
6,Alatreon,The Evening Star,八月朔日縁,"03'29""58",209.58,HBG,PC,Freestyle,8,5,7,4
6,Alatreon,The Evening Star,OCaml,"03'34""78",214.78,GS,PC,Freestyle,9,6,1,1
6,Alatreon,Dawn of the Death Star,HK_MH_OLAY,"03'41""38",221.38,GS,PC,Freestyle,10,4,2,1
6,Alatreon,The Evening Star,HK_MH_OLAY,"03'51""22",231.22,GS,PC,Freestyle,11,7,3,2
6,Alatreon,Dawn of the Death Star,ブロントさん,"03'52""16",232.16,SnS,PC,Freestyle,12,5,2,1
6,Alatreon,Dawn of the Death Star,u1usq_,"03'57""40",237.4,LBG,PC,Freestyle,13,6,1,1
6,Alatreon,The Evening Star,ふなつべ,"03'59""80",239.8,GL,PS4,Freestyle,14,8,1,1
6,Alatreon,Dawn of the Death Star,CHE car,"04'10""99",250.99,GS,PC,TA Rules,15,7,4,2
6,Alatreon,Dawn of the Death Star,CSMPiano,"04'14""75",254.75,SnS,PC,TA Rules,16,8,3,2
6,Alatreon,Dawn of the Death Star,痴人思梦,"04'14""80",254.8,GS,PC,TA Rules,17,9,5,3
6,Alatreon,The Evening Star,Ryo,"04'17""98",257.98,GL,PS4,Freestyle,18,9,2,2
6,Alatreon,The Evening Star,aco,"04'29""80",269.8,HBG,PC,Freestyle,19,10,8,5
6,Alatreon,Dawn of the Death Star,Tu Amigo Drago,"04'38""93",278.93,GS,PS4,Freestyle,20,10,6,4
6,Alatreon,The Evening Star,V--14--,"04'40""45",280.45,HBG,PS4,Freestyle,21,11,9,6
