Star Rating,Monster Name,Quest,Runner,Time,Weapon,Platform,Ruleset
6,Alatreon,The Evening Star,DEVA,"01'55""11",Heavy Bowgun,PC,Freestyle
6,Alatreon,The Evening Star,DEVA,"02'05""13",Heavy Bowgun,PC,Freestyle
6,Alatreon,The Evening Star,Jackdaw갈까마귀,"02'24""56",Heavy Bowgun,PC,Freestyle
6,Alatreon,The Evening Star,Jackdaw갈까마귀,"02'30""96",Heavy Bowgun,PC,Freestyle
6,Alatreon,Dawn of the Death Star,Jackdaw갈까마귀,"02'44""40",Heavy Bowgun,PC,Freestyle
6,Alatreon,The Evening Star,Relial,"02'47""35",Heavy Bowgun,PC,Freestyle
6,Alatreon,The Evening Star,Jackdaw갈까마귀,"02'58""50",Heavy Bowgun,PC,Freestyle
6,Alatreon,Dawn of the Death Star,Relial,"02'58""53",Heavy Bowgun,PC,Freestyle
6,Alatreon,The Evening Star,Dusty,"02'58""98",Sword And Shield,PC,Freestyle
6,Alatreon,Dawn of the Death Star,Jackdaw갈까마귀,"03'03""90",Heavy Bowgun,PC,Freestyle
6,Alatreon,Dawn of the Death Star,Relial,"03'03""91",Heavy Bowgun,PC,Freestyle
6,Alatreon,Dawn of the Death Star,Relial,"03'11""83",Heavy Bowgun,PC,Freestyle
6,Alatreon,Dawn of the Death Star,Jackdaw갈까마귀,"03'25""76",Heavy Bowgun,PC,Freestyle
6,Alatreon,Dawn of the Death Star,Randel Daora,"03'26""71",Heavy Bowgun,PC,Freestyle
6,Alatreon,The Evening Star,八月朔日縁,"03'29""58",Heavy Bowgun,PC,Freestyle
6,Alatreon,The Evening Star,OCaml,"03'34""78",Great Sword,PC,Freestyle
6,Alatreon,The Evening Star,Relial,"03'39""63",Heavy Bowgun,PC,TA Rules
6,Alatreon,Dawn of the Death Star,HK_MH_OLAY,"03'41""38",Great Sword,PC,Freestyle
6,Alatreon,The Evening Star,Dusty,"03'42""96",Sword And Shield,PC,Freestyle
6,Alatreon,The Evening Star,Jackdaw갈까마귀,"03'48""06",Heavy Bowgun,PC,Freestyle
6,Alatreon,The Evening Star,HK_MH_OLAY,"03'51""22",Great Sword,PC,Freestyle
6,Alatreon,Dawn of the Death Star,ブロントさん,"03'52""16",Sword And Shield,PC,Freestyle
6,Alatreon,Dawn of the Death Star,u1usq_,"03'57""40",Light Bowgun,PC,Freestyle
6,Alatreon,Dawn of the Death Star,Relial,"03'58""31",Heavy Bowgun,PC,TA Rules
6,Alatreon,The Evening Star,ふなつべ,"03'59""80",Gunlance,PS4,Freestyle
6,Alatreon,Dawn of the Death Star,Relial,"04'04""06",Heavy Bowgun,PC,Freestyle
6,Alatreon,Dawn of the Death Star,CHE car,"04'10""99",Great Sword,PC,TA Rules
6,Alatreon,The Evening Star,HK_MH_OLAY,"04'12""84",Great Sword,PC,Freestyle
6,Alatreon,Dawn of the Death Star,CSMPiano,"04'14""75",Sword And Shield,PC,TA Rules
6,Alatreon,Dawn of the Death Star,痴人思梦,"04'14""80",Great Sword,PC,TA Rules
6,Alatreon,Dawn of the Death Star,Jackdaw갈까마귀,"04'16""56",Heavy Bowgun,PC,TA Rules
6,Alatreon,The Evening Star,Ryo,"04'17""98",Gunlance,PS4,Freestyle
6,Alatreon,Dawn of the Death Star,HK_MH_OLAY,"04'25""05",Great Sword,PC,Freestyle
6,Alatreon,Dawn of the Death Star,Relial,"04'25""46",Heavy Bowgun,PC,Freestyle
6,Alatreon,The Evening Star,aco,"04'29""80",Heavy Bowgun,PC,Freestyle
6,Alatreon,Dawn of the Death Star,HK_MH_OLAY,"04'33""27",Great Sword,PC,Freestyle
6,Alatreon,Dawn of the Death Star,Tu Amigo Drago,"04'38""93",Great Sword,PS4,Freestyle
6,Alatreon,The Evening Star,V--14--,"04'40""45",Heavy Bowgun,PS4,Freestyle
6,Alatreon,The Evening Star,Relial,"04'44""13",Light Bowgun,PC,Freestyle
6,Alatreon,Dawn of the Death Star,HK_MH_OLAY,"04'44""61",Great Sword,PC,Freestyle
6,Alatreon,Dawn of the Death Star,CHE car,"04'52""28",Great Sword,PC,TA Rules
6,Alatreon,Dawn of the Death Star,Vivern96,"04'53""06",Switch Axe,PC,Freestyle
6,Alatreon,The Evening Star,荒古遗陳,"04'53""75",Sword And Shield,PC,Freestyle
6,Alatreon,Dawn of the Death Star,CSMPiano,"04'54""11",Sword And Shield,PC,TA Rules
6,Alatreon,Dawn of the Death Star,Bertrand (베르트랑),"04'54""90",Great Sword,PS4,Freestyle
6,Alatreon,The Evening Star,望遠鏡 (VulpesMH),"04'57""53",Sword And Shield,PS4,Freestyle
6,Alatreon,Dawn of the Death Star,Jackdaw갈까마귀,"04'58""35",Heavy Bowgun,PC,TA Rules
6,Alatreon,Dawn of the Death Star,slime,"05'07""96",Sword And Shield,PC,TA Rules
