Star Rating,Monster Name,Quest,Runner,Time,Time (s),Weapon,Platform,Monster/General,Quest/General,Monster/Weapon,Quest/Weapon
6,Alatreon,Dawn of the Death Star,CHE car,"04'10""99",250.99,GS,PC,1,1,1,1
6,Alatreon,Dawn of the Death Star,CSMPiano,"04'14""75",254.75,SnS,PC,2,2,1,1
6,Alatreon,Dawn of the Death Star,痴人思梦,"04'14""80",254.8,GS,PC,3,3,2,2
6,Alatreon,Dawn of the Death Star,slime,"05'07""96",307.96,SnS,PC,4,4,2,2
6,Alatreon,Dawn of the Death Star,Teo,"05'26""85",326.85,SnS,PC,5,5,3,3
6,Alatreon,Dawn of the Death Star,suzume,"05'32""00",332.0,SnS,PC,6,6,4,4
6,Alatreon,Dawn of the Death Star,KhalidSenpai,"05'33""08",333.08,IG,PC,7,7,1,1
6,Alatreon,The Evening Star,인생은셀프 (JIN),"05'35""40",335.4,SnS,PS4,8,1,5,1
6,Alatreon,The Evening Star,slime,"05'36""41",336.41,SnS,PC,9,2,6,2
6,Alatreon,Dawn of the Death Star,Aris,"05'39""23",339.23,GS,PC,10,8,3,3
6,Alatreon,The Evening Star,Qy_C,"05'41""85",341.85,LS,PC,11,3,1,1
6,Alatreon,Dawn of the Death Star,だーよし,"05'46""46",346.46,IG,PC,12,9,2,2
6,Alatreon,The Evening Star,Theo,"05'48""13",348.13,CB,PC,13,4,1,1
6,Alatreon,The Evening Star,黑泽阳一,"05'48""16",348.16,DB,PC,14,5,1,1
6,Alatreon,Dawn of the Death Star,Ryan,"05'49""26",349.26,GS,PC,15,10,4,4
6,Alatreon,Dawn of the Death Star,Theo,"05'53""75",353.75,IG,PC,16,11,3,3
6,Alatreon,Dawn of the Death Star,latellight,"05'54""68",354.68,SnS,PC,17,12,7,5
6,Alatreon,Dawn of the Death Star,Heartfilia,"05'56""55",356.55,LS,PC,18,13,2,1
6,Alatreon,The Evening Star,Rainy,"05'56""70",356.7,CB,PC,19,6,2,2
6,Alatreon,The Evening Star,GhostCortex,"05'57""65",357.65,DB,PS4,20,7,2,2
6,Alatreon,Dawn of the Death Star,z00p,"05'57""95",357.95,SnS,PC,21,14,8,6
6,Alatreon,Dawn of the Death Star,Jay,"05'59""25",359.25,IG,PC,22,15,4,4
6,Alatreon,The Evening Star,Attacker,"06'10""31",370.31,DB,PS4,23,8,3,3
6,Alatreon,Dawn of the Death Star,Synergy Mygos,"06'13""61",373.61,LS,PC,24,16,3,2
6,Alatreon,Dawn of the Death Star,普通人阿懒,"06'14""30",374.3,GS,PC,25,17,5,5
6,Alatreon,Dawn of the Death Star,dufte,"06'20""45",380.45,LS,PC,26,18,4,3
6,Alatreon,Dawn of the Death Star, miko,"06'21""06",381.06,LS,PS4,27,19,5,4
6,Alatreon,The Evening Star,あーるえむ,"06'23""35",383.35,LS,PC,28,9,6,2
6,Alatreon,Dawn of the Death Star,放学后的大表哥w,"06'27""48",387.48,SA,PC,29,20,1,1
6,Alatreon,The Evening Star,黑化由岐,"06'30""31",390.31,DB,PS4,30,10,4,4
